id,slug,cnt_pages,cnt_products_last_page
4567,dymososy,2,15
4619,rezbovoj_fiting_amerikanka,1,12
4621,metalloplastikovaja_truba,3,7
4667,vodostochnye_truby,10,2
4700,truby_dymovye_odnostvolnye,5,2
4710,otdelitel_masla,1,18
4714,gradirni,2,9
4715,neftegazovye_separatory,2,14
4718,sosudy_kovano-svarnye_stalnye,1,14
4723,prokladka,110,6
4725,reklamnye_schity,1,3
4737,vysokoprochnyj_krepezh,1,0
4740,konstruktsii_dlja_ballastirovki_truboprovodov,4,2
4745,protivoerozionnye_konstruktsii,1,16
4748,konstruktsii_dlja_svarki_truboprovodov,3,9
4752,konstruktsii_dlja_zaschity_izoljatsionnogo_pokrytija_truboprovodov,4,17
4755,skalnyj_list,2,14
4758,konstruktsii_dlja_stroitelstva_perehodov_truboprovodov,18,5
4761,germetizirujuschie_manzhety,8,18
4764,konstruktsii_dlja_truboprovodov,1,0
4765,konstruktsii_dlja_ochistki_polosti_truboprovodov,6,13
4772,blok_avtomaticheskogo_upravlenija,1,1
4781,polipropilenovyj_filtr,1,5
4788,otsinkovannyj_rulon,23,3
4791,latunnyj_ugolok,2,4
4812,plastikovye_truby_dlja_gnb,15,12
4813,ogranichiteli_perenaprjazhenija,1,9
4816,ekonomajzery,1,0
4817,parovye_kotly,5,1
4818,kotly_vodogrejnye,3,1
4819,vozduhopodogrevateli,1,7
4835,stalnoj_riflenyj_list,82,6
4840,aljuminievyj_rulon,732,18
4848,stalnaja_drob,3,14
4857,invar,1,2
4858,kovar,1,2
4860,zharoprochnye_splavy,1,0
4865,korrozionno-stojkie_splavy,56,10
4866,hastelloj,56,10
4868,nerzhavejuschij_list,5443,12
4871,olovjanno-indievyj_pripoj,1,16
4896,tros_privoda_stojanochnogo_tormoza,3,11
4903,litij_metallicheskij,1,2
4904,kompozitnye_paneli,1162,14
4947,medno-germanievyj_pripoj,1,5
4955,sharikovye_podshipniki,1,0
4970,rolikovye_podshipniki,1,0
4980,sharnirnye_podshipniki,1,0
4996,podshipniki,1,0
5026,soedinenija_litija,3,8
5052,shpunt_larsena,7,3
5053,listy_bu,14,6
5057,nerzhavejuschie_vinty,24,16
5058,simmetrirujuschie_transformatory,1,0
5062,trehfazno-odnofaznyj_transformator_tst2-o,1,4
5063,trehfazno-odnofaznyj_transformator_tst2-or,1,4
5072,truby_gofrirovannye_spiralnovitye,23,12
5074,teploobmennik_kozhuhotrubnyj_vvp,2,8
5079,atmosfernye_ohladiteli_vypara_ova,1,4
5080,podogrevateli_mazuta_pm,1,2
5085,ispariteli_kozhuhotrubnye,38,12
5086,kondensatory_kozhuhotrubnye,19,12
5112,ressorno-pruzhinnaja_lenta,11,11
5221,holodilniki_otbora_prob,1,8
5252,nihromovaja_lenta,56,10
5253,nikelevaja_polosa,32,12
5264,mednyj_slitok,8,13
5267,prisadochnye_prutki,15,12
5274,gorizontalnye_tsilindricheskie_sosudy_dlja_sug,1,10
5275,osvetitelnye_machty,1,4
5297,shturvaly,1,8
5298,strojmaterialy,1,0
5299,kanalizatsija,1,0
